percent,keyword,name,sales_count,price,inventory_price,name_store,state,reviews,rating,city,zip_code,latitude,longitude,lower_name,fullname,category,category_2,parent,year,brand value,abb_state
0.613278225493063,sunkist,"Sunkist Orange Soda, .5 L bottles, 6 pack",,2.88,3.48,Walmart supercenter,ALASKA,221.2,2.3,Juneau,99824.0,58.3592,-134.51496,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AK
0.5831060144461917,sunkist,"Sunkist Zero Sugar Orange Soda, .5 L bottles, 6 pack",,2.88,6.68,Walmart supercenter,ALASKA,972.9,1.4,Juneau,99824.0,58.3592,-134.51496,sunkist zero sugar,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AK
0.5584909593874381,sunkist,"Sunkist Grape Soda, 12 fl oz cans, 12 pack",,17.99,29.69,Walmart supercenter,ALASKA,499.0,4.3,Juneau,99824.0,58.3592,-134.51496,sunkist grape soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AK
0.45037404457377933,sunkist,"Sunkist Strawberry Lemonade Soda Cans, 12 Fl Oz, 12 Count",,3.98,5.68,Walmart supercenter,ALASKA,412.2,4.3,Juneau,99824.0,58.3592,-134.51496,sunkist strawberry lemonade,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AK
0.613278225493063,sunkist,"Sunkist Orange Soda, 12 fl oz cans, 12 pack",0.0,3.98,5.28,Walmart neighborhood market,ALABAMA,123.4,4.4, jefferson county,35215.0,33.637368,-86.684495,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AL
0.45037404457377933,sunkist,"Sunkist Strawberry Lemonade Soda Cans, 12 Fl Oz, 12 Count",,3.98,5.68,Walmart neighborhood market,ALABAMA,654.8,2.7, jefferson county,35215.0,33.637368,-86.684495,sunkist strawberry lemonade,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AL
0.5831060144461917,sunkist,"Sunkist Zero Sugar Orange Soda, .5 L bottles, 6 pack",,2.88,6.68,Walmart express,ARKANSAS,119.6,4.1,Gravette,72736.0,36.41487,-94.4531,sunkist zero sugar,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AR
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 12 Fl Oz, 24 Pack Cans",,46.43,6.98,Walmart express,ARKANSAS,700.8,3.0,Gravette,72736.0,36.41487,-94.4531,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AR
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 2 L bottle",,1.0,1.33,Walmart green valley supercenter,ARIZONA,404.0,1.2,Green valley,85629.0,31.912168,-110.982594,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AZ
0.613278225493063,sunkist,"Sunkist Orange Soda, .5 L bottles, 6 pack",,2.88,3.48,Walmart green valley supercenter,ARIZONA,554.6,2.2,Green valley,85629.0,31.912168,-110.982594,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AZ
0.613278225493063,sunkist,"Sunkist Orange Soda, 12 fl oz cans, 12 pack",0.0,3.98,5.28,Walmart green valley supercenter,ARIZONA,569.8,3.8,Green valley,85629.0,31.912168,-110.982594,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,AZ
0.613278225493063,sunkist,"Sunkist Orange Soda, 12 fl oz cans, 12 pack",0.0,3.98,5.28,Walmart pueblo supercenter,COLORADO,311.4,4.1,Pueblo,81003.0,38.232244,-104.664911,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,CO
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 2 L bottle",,1.0,1.33,Walmart bristol store,CONNECTICUT,551.1,1.0,Bristol,6010.0,41.697557,-72.897663,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,CT
0.5584909593874381,sunkist,"Sunkist Grape Soda, 12 fl oz cans, 12 pack",,17.99,29.69,Walmart washington supercenter,DISTRICT OF COLUMBIA,711.0,3.4,Washington,20011.0,38.957531,-77.002461,sunkist grape soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,DC
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 12 Fl Oz, 24 Pack Cans",,46.43,6.98,Walmart washington supercenter,DISTRICT OF COLUMBIA,844.0,3.5,Washington,20011.0,38.957531,-77.002461,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,DC
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 2 L bottle",,1.0,1.33,Walmart market 3013,FLORIDA,234.5,3.1,Pinellas park,33781.0,27.840102,-82.728809,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,FL
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 2 L bottle",,1.0,1.33,Walmart commerce supercenter,GEORGIA,102.9,1.2,Commerce,30529.0,34.247854,-83.456616,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,GA
0.5584909593874381,sunkist,"Sunkist Grape Soda, 12 fl oz cans, 12 pack",,17.99,29.69,Walmart kailua kona store,HAWAII,669.6,3.2,Kailua kona,96725.0,19.646268,-155.99092,sunkist grape soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,HI
0.5831060144461917,sunkist,"Sunkist Zero Sugar Orange Soda, 12 fl oz cans, 12 pack",,15.4,3.98,Walmart kailua kona store,HAWAII,390.6,1.3,Kailua kona,96725.0,19.646268,-155.99092,sunkist zero sugar,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,HI
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 12 Fl Oz, 24 Pack Cans",,46.43,6.98,Walmart newton supercenter,IOWA,573.8,4.3,Newton,50208.0,41.697155,-93.011703,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,IA
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 2 L bottle",,1.0,1.33,Walmart newton supercenter,IOWA,277.9,4.5,Newton,50208.0,41.697155,-93.011703,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,IA
0.5584909593874381,sunkist,"Sunkist Grape Soda, 12 fl oz cans, 12 pack",,17.99,29.69,Walmart newton supercenter,IOWA,830.9,1.7,Newton,50208.0,41.697155,-93.011703,sunkist grape soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,IA
0.5831060144461917,sunkist,"Sunkist Zero Sugar Orange Soda, 12 fl oz cans, 12 pack",,15.4,3.98,Walmart boise supercenter,IDAHO,128.1,4.8,Boise,83704.0,43.592826,-116.284808,sunkist zero sugar,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,ID
0.613278225493063,sunkist,"Sunkist Orange Soda, .5 L bottles, 6 pack",,2.88,3.48,Walmart boise supercenter,IDAHO,677.8,4.6,Boise,83704.0,43.592826,-116.284808,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,ID
0.5831060144461917,sunkist,"Sunkist Zero Sugar Orange Soda, 12 fl oz cans, 12 pack",,15.4,3.98,Walmart brazil store,INDIANA,487.6,4.8,Brazil,47857.0,39.531649,-87.10094,sunkist zero sugar,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,IN
0.5831060144461917,sunkist,"Sunkist Zero Sugar Orange Soda, .5 L bottles, 6 pack",,2.88,6.68,Walmart brazil store,INDIANA,384.0,3.6,Brazil,47857.0,39.531649,-87.10094,sunkist zero sugar,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,IN
0.613278225493063,sunkist,"Sunkist Orange Soda, 12 fl oz cans, 12 pack",0.0,3.98,5.28,Walmart chanute supercenter,KANSAS,702.5,4.1,Chanute,66720.0,37.65365,-95.450998,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,KS
0.613278225493063,sunkist,"Sunkist Orange Soda Pop, 12 Fl Oz, 24 Pack Cans",,46.43,6.98,Walmart chanute supercenter,KANSAS,882.8,4.0,Chanute,66720.0,37.65365,-95.450998,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,KS
0.5584909593874381,sunkist,"Sunkist Grape Soda, 12 fl oz cans, 12 pack",,17.99,29.69,Walmart chanute supercenter,KANSAS,459.5,1.4,Chanute,66720.0,37.65365,-95.450998,sunkist grape soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,KS
0.613278225493063,sunkist,"Sunkist Orange Soda, .5 L bottles, 6 pack",,2.88,3.48,Walmart chanute supercenter,KANSAS,868.4,3.9,Chanute,66720.0,37.65365,-95.450998,sunkist orange soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,KS
0.5584909593874381,sunkist,"Sunkist Grape Soda, 12 fl oz cans, 12 pack",,17.99,29.69,Walmart jackson store,KENTUCKY,188.0,3.4,Jackson,41339.0,37.551571,-83.3603119,sunkist grape soda,SUNKIST,Beverage,Soft Drink,Keurig Dr Pepper,1962,11.62B,KY
